linea;desde;hasta;estacion;pasajeros
D;06:45;06:59;9 de julio;18
E;06:45;06:59;Jose Maria Moreno;8
B;06:45;06:59;Pasteur;21
D;06:45;06:59;Catedral;29
D;06:45;06:59;Plaza Italia;20
A;06:45;06:59;Carabobo;20
D;06:45;06:59;Aguero;15
E;06:45;06:59;Urquiza;2
E;06:45;06:59;Medalla Milagrosa;3
D;06:45;06:59;Ministro Carranza;17
B;06:45;06:59;Dorrego;16
A;06:45;06:59;Acoyte;17
D;06:45;06:59;Jose Hernandez;17
B;06:45;06:59;Pueyrredon;19
C;06:45;06:59;Independencia;13
A;06:45;06:59;Puan;10
H;06:45;06:59;Patricios;21
E;06:45;06:59;Independencia.;7
B;06:45;06:59;Carlos Pellegrini;36
E;06:45;06:59;Boedo;10
B;06:45;06:59;Tronador;7
E;06:45;06:59;Entre Rios;24
H;06:45;06:59;Humberto I;11
A;06:45;06:59;San Pedrito;88
A;06:45;06:59;Piedras;4
D;06:45;06:59;Congreso de Tucuman;64
A;06:45;06:59;Primera Junta;37
H;06:45;06:59;Corrientes;9
C;06:45;06:59;Mariano Moreno;16
B;06:45;06:59;Rosas;53
D;06:45;06:59;Pueyrredon.;12
D;06:45;06:59;Juramento;18
B;06:45;06:59;Callao;31
D;06:45;06:59;Bulnes;22
A;06:45;06:59;Pasco;3
C;06:45;06:59;Avenida de Mayo;12
C;06:45;06:59;Constitucion;1191
H;06:45;06:59;Caseros;11
A;06:45;06:59;Plaza Miserere;30
H;06:45;06:59;Hospitales;25
B;06:45;06:59;Echeverria;27
E;06:45;06:59;Bolivar;8
B;06:45;06:59;Los Incas;35
D;06:45;06:59;Palermo;25
H;06:45;06:59;Once;14
D;06:45;06:59;Scalabrini Ortiz;25
A;06:45;06:59;Saenz Peña;8
E;07:00;07:14;Jose Maria Moreno;9
E;07:00;07:14;Boedo;15
C;07:00;07:14;General San Martin;10
D;07:00;07:14;Ministro Carranza;14
B;07:00;07:14;Florida;14
C;07:00;07:14;Diagonal Norte;3
D;07:00;07:14;Bulnes;17
H;07:00;07:14;Once;16
B;07:00;07:14;Medrano;36
E;07:00;07:14;Avenida La Plata;9
A;07:00;07:14;Primera Junta;46
B;07:00;07:14;Pasteur;18
A;07:00;07:14;Plaza Miserere;56
C;07:00;07:14;Retiro;155
B;07:00;07:14;Echeverria;26
E;07:00;07:14;Pichincha;14
E;07:00;07:14;Pza. de los Virreyes;117
B;07:00;07:14;Tronador;18
E;07:00;07:14;Jujuy;13
D;07:00;07:14;Plaza Italia;24
A;07:00;07:14;Acoyte;45
A;07:00;07:14;Puan;13
D;07:00;07:14;Scalabrini Ortiz;17
H;07:00;07:14;Inclan;18
E;07:00;07:14;Bolivar;7
H;07:00;07:14;Patricios;22
A;07:00;07:14;Congreso;16
B;07:00;07:14;Angel Gallardo;31
B;07:00;07:14;Los Incas;54
A;07:00;07:14;Alberti;8
D;07:00;07:14;Callao.;15
B;07:00;07:14;Rosas;109
D;07:00;07:14;Catedral;42
D;07:00;07:14;Pueyrredon.;25
A;07:00;07:14;Lima;10
A;07:00;07:14;Rio de Janeiro;20
B;07:00;07:14;Uruguay;12
E;07:00;07:14;San Jose;4
A;07:00;07:14;Peru;5
E;07:00;07:14;Varela;18
A;07:00;07:14;Flores;22
C;07:00;07:14;Avenida de Mayo;15
H;07:00;07:14;Caseros;15
B;07:00;07:14;Carlos Gardel;14
C;07:00;07:14;San Juan;14
A;07:00;07:14;Saenz Peña;4
D;07:00;07:14;Facultad de Medicina;17
D;07:00;07:14;Juramento;27
D;07:00;07:14;Jose Hernandez;29
B;07:00;07:14;Dorrego;22
E;07:00;07:14;Urquiza;13
D;07:00;07:14;Palermo;37
D;07:00;07:14;Olleros;32
A;07:00;07:14;Plaza de Mayo;28
A;07:00;07:14;Pasco;4
C;07:00;07:14;Mariano Moreno;9
D;07:00;07:14;Aguero;15
H;07:00;07:14;Venezuela;11
E;07:00;07:14;Medalla Milagrosa;9
B;07:00;07:14;Pueyrredon;17
E;07:00;07:14;General Belgrano;5
D;07:00;07:14;Tribunales;8
B;07:00;07:14;Callao;37
E;07:00;07:14;Emilio Mitre;14
A;07:00;07:14;Loria;20
H;07:00;07:14;Hospitales;46
A;07:00;07:14;Castro Barros;16
E;07:00;07:14;Entre Rios;36
B;07:00;07:14;Malabia;47
C;07:00;07:14;Constitucion;1155
E;07:00;07:14;Independencia.;17
A;07:00;07:14;Carabobo;38
H;07:00;07:14;Corrientes;6
H;07:00;07:14;Humberto I;6
D;07:00;07:14;Congreso de Tucuman;102
A;07:00;07:14;San Pedrito;107
B;07:00;07:14;Leandro N. Alem;132
C;07:00;07:14;Independencia;26
B;07:00;07:14;Carlos Pellegrini;50
A;07:00;07:14;Piedras;9
D;07:00;07:14;9 de julio;31
